date,observed
2022-12-29 16:15:00-05:00,28.517598537843696
2022-12-29 16:30:00-05:00,28.60837099642651
2022-12-29 16:45:00-05:00,28.699143455009324
2022-12-29 17:00:00-05:00,28.42682607926088
2022-12-29 17:15:00-05:00,28.88068837217495
2022-12-29 17:30:00-05:00,28.971460830757763
2022-12-29 17:45:00-05:00,29.062233289340583
2022-12-29 18:00:00-05:00,28.78991591359214
2022-12-29 18:15:00-05:00,29.243778206506207
2022-12-29 18:30:00-05:00,29.334550665089022
2022-12-29 18:45:00-05:00,29.425323123671838
2022-12-29 19:00:00-05:00,29.153005747923395
2022-12-29 19:15:00-05:00,29.51609558225465
2022-12-29 19:30:00-05:00,29.51609558225465
2022-12-29 19:45:00-05:00,29.51609558225465
2022-12-29 20:00:00-05:00,29.51609558225465
2022-12-29 20:00:00-05:00,29.51609558225465
2022-12-29 20:15:00-05:00,29.51609558225465
2022-12-29 20:30:00-05:00,29.51609558225465
2022-12-29 20:45:00-05:00,29.51609558225465
2022-12-29 21:00:00-05:00,29.51609558225465
2022-12-29 21:15:00-05:00,29.51609558225465
2022-12-29 21:30:00-05:00,29.51609558225465
2022-12-29 21:45:00-05:00,29.51609558225465
2022-12-29 22:00:00-05:00,29.51609558225465
2022-12-29 22:15:00-05:00,29.51609558225465
2022-12-29 22:30:00-05:00,29.51609558225465
2022-12-29 22:45:00-05:00,29.51609558225465
2022-12-29 23:00:00-05:00,29.51609558225465
2022-12-29 23:15:00-05:00,29.51609558225465
2022-12-29 23:30:00-05:00,29.51609558225465
2022-12-29 23:45:00-05:00,29.51609558225465
2022-12-30 00:00:00-05:00,29.51609558225465
2022-12-30 00:15:00-05:00,29.51609558225465
2022-12-30 00:30:00-05:00,29.51609558225465
2022-12-30 00:45:00-05:00,29.51609558225465
2022-12-30 01:00:00-05:00,29.51609558225465
2022-12-30 01:15:00-05:00,29.51609558225465
2022-12-30 01:30:00-05:00,29.51609558225465
2022-12-30 01:45:00-05:00,29.51609558225465
2022-12-30 02:00:00-05:00,29.51609558225465
2022-12-30 02:15:00-05:00,29.51609558225465
2022-12-30 02:30:00-05:00,29.51609558225465
2022-12-30 02:45:00-05:00,29.51609558225465
2022-12-30 03:00:00-05:00,29.51609558225465
2022-12-30 03:15:00-05:00,29.51609558225465
2022-12-30 03:30:00-05:00,29.51609558225465
2022-12-30 03:45:00-05:00,29.51609558225465
2022-12-30 04:00:00-05:00,29.51609558225465
2022-12-30 04:15:00-05:00,29.51609558225465
2022-12-30 04:30:00-05:00,29.51609558225465
2022-12-30 04:45:00-05:00,29.51609558225465
2022-12-30 05:00:00-05:00,29.51609558225465
2022-12-30 05:15:00-05:00,29.51609558225465
2022-12-30 05:30:00-05:00,29.51609558225465
2022-12-30 05:45:00-05:00,29.51609558225465
2022-12-30 06:00:00-05:00,29.51609558225465
2022-12-30 06:15:00-05:00,29.51609558225465
2022-12-30 06:30:00-05:00,29.51609558225465
2022-12-30 06:45:00-05:00,29.51609558225465
2022-12-30 07:00:00-05:00,29.51609558225465
2022-12-30 07:15:00-05:00,29.51609558225465
2022-12-30 07:30:00-05:00,29.51609558225465
2022-12-30 07:45:00-05:00,29.51609558225465
2022-12-30 08:00:00-05:00,29.51609558225465
2022-12-30 08:15:00-05:00,29.51609558225465
2022-12-30 08:30:00-05:00,29.51609558225465
2022-12-30 08:45:00-05:00,29.51609558225465
2022-12-30 09:00:00-05:00,29.51609558225465
2022-12-30 09:00:00-05:00,29.51609558225465
2022-12-30 09:15:00-05:00,29.51609558225465
2022-12-30 09:30:00-05:00,29.51609558225465
2022-12-30 09:45:00-05:00,29.51609558225465
2022-12-30 10:15:00-05:00,29.51609558225465
2022-12-30 10:30:00-05:00,29.51609558225465
2022-12-30 10:45:00-05:00,29.51609558225465
2022-12-30 11:00:00-05:00,29.51609558225465
2022-12-30 11:15:00-05:00,29.51609558225465
2022-12-30 11:30:00-05:00,29.51609558225465
2022-12-30 11:45:00-05:00,29.51609558225465
2022-12-30 12:00:00-05:00,29.51609558225465
2022-12-30 12:15:00-05:00,29.51609558225465
2022-12-30 12:30:00-05:00,29.51609558225465
2022-12-30 12:45:00-05:00,29.51609558225465
2022-12-30 13:00:00-05:00,29.51609558225465
2022-12-30 13:15:00-05:00,29.51609558225465
2022-12-30 13:30:00-05:00,29.51609558225465
2022-12-30 13:45:00-05:00,29.51609558225465
2022-12-30 14:00:00-05:00,29.51609558225465
2022-12-30 14:15:00-05:00,29.51609558225465
2022-12-30 14:30:00-05:00,29.51609558225465
2022-12-30 14:45:00-05:00,29.51609558225465
2022-12-30 15:00:00-05:00,29.51609558225465
2022-12-30 15:15:00-05:00,29.51609558225465
2022-12-30 15:30:00-05:00,29.51609558225465
2022-12-30 15:45:00-05:00,29.51609558225465
2022-12-30 16:00:00-05:00,29.51609558225465
2022-12-30 16:15:00-05:00,29.51609558225465
2022-12-30 16:30:00-05:00,29.51609558225465
2022-12-30 16:45:00-05:00,29.51609558225465
2022-12-30 17:00:00-05:00,29.51609558225465
2022-12-30 17:15:00-05:00,29.51609558225465
2022-12-30 17:30:00-05:00,29.51609558225465
2022-12-30 17:45:00-05:00,29.51609558225465
2022-12-30 18:00:00-05:00,29.51609558225465
2022-12-30 18:00:00-05:00,29.51609558225465
